org,repo,linguagem,versao_atual,baseline_min,baseline_target,status,data_execucao
luucilia,blog_paperclip,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-02-09
luucilia,eps-payments-banking-service-integration-template,Java,NAO_DECLARADA,11,25,ABAIXO,2026-02-09
luucilia,Github-dependabot,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-02-09
luucilia,hello-world,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-02-09
luucilia,java-example,Java,17,11,25,ABAIXO_TARGET,2026-02-09
luucilia,ObjectOrientedEssentials,Java-LEGACY,N/A,11,25,ABAIXO,2026-02-09
luucilia,palmtree,Java-LEGACY,N/A,11,25,ABAIXO,2026-02-09
luucilia,PMPE,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-02-09
luucilia,proxy_pattern,Java,NAO_DECLARADA,11,25,ABAIXO,2026-02-09
luucilia,quality-gate,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-02-09
luucilia,rest-spring-boot,Java,17,11,25,ABAIXO_TARGET,2026-02-09
luucilia,rest-with-spring-boot-and-java-erudio,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-02-09
luucilia,spring-data-examples,Java,25,11,25,OK,2026-02-09
luucilia,uploader_carrierwave,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-02-09
luucilia,uploader_paperclip,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-02-09
luucilia,uploader_shrine,DESCONHECIDO,N/A,N/A,N/A,N/A,2026-02-09
luucilia,yas,Java,21,11,25,ABAIXO_TARGET,2026-02-09
